manufacturer,Model,Condition,Listing ID,Update,Year of construction,Mileage,price,ville,pays
Scania,R730 6x4 Tractor Unit with Hydraulics and Raised X,used,A215-07-582,2026-03-15,2016,700000,57174,Norway,Trøndelag
Volvo,FH 500 6x4 Tractor w/ 2024 Rojo Tipper Semi,used,A214-86-682,2026-03-12,2021,320000,147616,Norway,Nord-Trøndelag
MAN,TGX 33.500 6x4 Tractor Unit,used,A211-40-282,2026-03-12,2017,132225,34823,Norway,Akershus
MAN,18.400 TGX HYDRODRIVE,good (used),A215-08-207,2026-03-14,2014,688102,16950,Vuren,Netherlands
MAN,18.400 TGX HYDRODRIVE,good (used),A215-08-202,2026-03-14,2014,740932,16950,Vuren,Netherlands
MAN,18.400 TGX HYDRODRIVE,good (used),A215-08-197,2026-03-14,2014,708608,16950,Vuren,Netherlands
VOLVO,FH 500,good (used),A215-08-192,2026-03-14,2024,296872,92900,Vuren,Netherlands
MERCEDES-BENZ,ACTROS 1845 LS Hydrodrive,good (used),A215-08-177,2026-03-14,2022,391152,55900,Vuren,Netherlands
MAN,18.500 TGX,good (used),A215-08-157,2026-03-14,2017,641098,14900,Vuren,Netherlands
SCANIA,R450,good (used),A215-08-117,2026-03-14,2015,1103800,18900,Vuren,Netherlands
SCANIA,R500,good (used),A215-08-102,2026-03-14,2019,835034,39950,Vuren,Netherlands
MAN,18.460 TGX,good (used),A215-08-087,2026-03-14,2018,619838,16950,Vuren,Netherlands
MAN,18.460 TGX,good (used),A215-08-077,2026-03-14,2018,637032,15950,Vuren,Netherlands
MAN,18.460 TGX,good (used),A215-08-072,2026-03-14,2018,680832,15950,Vuren,Netherlands
MAN,18.460 TGX,good (used),A215-08-067,2026-03-14,2019,716627,19950,Vuren,Netherlands
SCANIA,G420 HL E5 ADBLEU,good (used),A215-08-027,2026-03-14,2011,1111586,12950,Vuren,Netherlands
MAN,18.430 TGS,good (used),A215-07-367,2026-03-14,2018,474797,18900,Vuren,Netherlands
Mercedes,Arocs 3351 Arocs 6X6 Hydrodrive Big-Axle,used,A208-21-132,2026-03-14,2016,495717,37400,Veghel,Netherlands
Scania,R500 4X2 Retarder 2xTanks Standklima Navi ACC,used,A215-08-567,2026-03-14,2021,446746,58900,Veghel,Netherlands
Scania,R580 R 6X2 V8 Full-Air Retarder PTO Alcoa Navi ...,used,A215-08-547,2026-03-14,2019,751526,46900,Veghel,Netherlands
Iveco,S-Way 500 4X2 NEW! 2xTanks HPEB Standklima ACC ...,new,A211-54-992,2026-03-14,2026,11,85400,Veghel,Netherlands
MAN,TGX 18.460 TGX 4X2 XXL Retarder 2xTanks,used,A215-08-242,2026-03-14,2018,461851,17900,Veghel,Netherlands
Renault,K 520 K 6X6 Palfinger S260L87 Holz Crane wood t...,used,A211-34-702,2026-03-14,2022,56238,165000,Veghel,Netherlands
MAN,TGX 18.470 / 2x Tank / Retarder / Euro 6,good (used),A215-00-947,2026-03-13,2021,455440,27950,Vuren,Netherlands
MAN,TGX 18.470 / 2x Tank / Retarder / Euro 6,good (used),A215-00-917,2026-03-13,2021,424070,27950,Vuren,Netherlands
Mercedes-Benz,Actros Big space / Automatic,good (used),A210-42-452,2026-03-13,2014,909801,10950,Vuren,Netherlands
SCANIA,G410,good (used),A214-96-577,2026-03-14,2015,1030887,16950,Vuren,Netherlands
MERCEDES-BENZ,ACTROS 1848 LS BIG SPACE,good (used),A214-96-562,2026-03-14,2021,351402,48900,Vuren,Netherlands
MAN,18.460 TGX,good (used),A214-96-532,2026-03-13,2018,632359,16950,Vuren,Netherlands
DAF,XF 440 MANUAL,used,A214-96-512,2026-03-14,2014,902635,10900,Vuren,Netherlands
SCANIA,R410,good (used),A214-96-487,2026-03-13,2016,1149657,20950,Vuren,Netherlands
DAF,XF 530 4X2 SC Retarder,used,A215-04-297,2026-03-13,2021,362971,29400,Veghel,Netherlands
Iveco,S-Way 490 S-Way 4X2 AS Retarder 2xTanks Navi St...,used,A215-04-292,2026-03-13,2023,279225,49900,Veghel,Netherlands
DAF,XF 530 4X2 SC Retarder,used,A215-04-282,2026-03-13,2021,291377,30900,Veghel,Netherlands
MAN,TGX 18.470 4X2 GX Mega Retarder 2xTanks,used,A215-04-277,2026-03-13,2021,440923,32400,Veghel,Netherlands
Mercedes,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,A215-04-272,2026-03-13,2021,393075,41900,Veghel,Netherlands
Mercedes,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,A215-04-262,2026-03-13,2021,405445,41400,Veghel,Netherlands
Mercedes,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,A215-04-257,2026-03-13,2021,369192,41900,Veghel,Netherlands
Mercedes,Actros 1846 4X2 Bigspace Retarder Mirrorcam Navi,used,A215-04-252,2026-03-13,2021,400426,41400,Veghel,Netherlands
VOLVO,FH 460 Globetrotter XL i-Save,used,A215-00-687,2026-03-13,2022,509495,56600,Heteren,Netherlands
VOLVO,FH 460 Globetrotter XL i-Save,used,A215-00-167,2026-03-13,2023,383706,64800,Heteren,Netherlands
VOLVO,FH 460 Globetrotter XL i-Save,used,A215-00-162,2026-03-13,2023,258005,69500,Heteren,Netherlands
Volvo,FH 460 4X2 Mega 2xTanks VEB+ Alcoa's I-ParkCool,used,A215-00-977,2026-03-13,2019,533452,31900,Veghel,Netherlands
Volvo,FH 500 FH 4X2 NL VEB+ 2xTanks I-ParkCool,used,A214-99-322,2026-03-13,2018,776170,31400,Veghel,Netherlands
DAF,XG+ 530 XG+ INTARDER 2X TANK,good (used),A211-68-762,2026-03-12,2023,342797,64900,Vuren,Netherlands
Scania,S560 4X2 NEW! Retarder 2xTanks LED ACC Standkli...,new,A214-96-517,2026-03-13,2026,6,128900,Veghel,Netherlands
Scania,S560 4X2 NEW! Retarder 2xTanks LED ACC Standkli...,new,A214-96-502,2026-03-13,2026,6,128900,Veghel,Netherlands
Scania,S460 4X2 NEW! Retarder Full-Air 2xTanks LED ACC...,new,A214-96-482,2026-03-13,2026,11,120900,Veghel,Netherlands
MAN,TGX 18.440 4x2   BLS  XLX,used,A208-05-862,2026-03-14,2015,499999,14900,Viersen,Germany
Volvo,FM 420 Engine Damage / Euro 6 / Automatic,good (used),A214-88-377,2026-03-12,2016,848751,10950,Vuren,Netherlands
MAN,18.460 TGX XLX 4X4H PTO+HYDR.,good (used),A214-87-137,2026-03-14,2017,418789,23950,Vuren,Netherlands
MAN,18.430 TGS 385TKM E6D INTARDER,good (used),A214-87-122,2026-03-14,2020,385279,21900,Vuren,Netherlands
SCANIA,R450,good (used),A214-87-022,2026-03-12,2018,656594,29900,Vuren,Netherlands
