listing_id,manufacturer,price,location,Model:,Condition:,Location:,Listing ID:,Update:,Year of construction:,Mileage:
21468897,Kenworth,"$43,000                            
         ONO plus VAT",Atlanta,W900L,ready for operation (used),"Atlanta, United States",A214-68-897,10.03.2026,,
21507582,Scania,"€57,174                            
         Fixed price plus VAT        
        (€71,468 gross)",Norway,R730 6x4 Tractor Unit with Hydraulics and Raised X,used,Trøndelag,A215-07-582,15.03.2026,2016,"700,000 km"
21486682,Volvo,"€147,616                            
         Fixed price plus VAT        
        (€184,520 gross)",Norway,FH 500 6x4 Tractor w/ 2024 Rojo Tipper Semi,used,Nord-Trøndelag,A214-86-682,12.03.2026,2021,"320,000 km"
21140282,MAN,"€34,823                            
                                            €38,110                                    
         Fixed price plus VAT        
        (€43,529 gross)",Norway,TGX 33.500 6x4 Tractor Unit,used,Akershus,A211-40-282,12.03.2026,2017,"132,225 km"
21508207,MAN,"€16,950                            
         ONO plus VAT        
        (€20,510 gross)",Vuren,18.400 TGX HYDRODRIVE,good (used),"Vuren, The Netherlands",A215-08-207,14.03.2026,2014,"688,102 km"
21508202,MAN,"€16,950                            
         ONO plus VAT        
        (€20,510 gross)",Vuren,18.400 TGX HYDRODRIVE,good (used),"Vuren, The Netherlands",A215-08-202,14.03.2026,2014,"740,932 km"
21508197,MAN,"€16,950                            
         ONO plus VAT        
        (€20,510 gross)",Vuren,18.400 TGX HYDRODRIVE,good (used),"Vuren, The Netherlands",A215-08-197,14.03.2026,2014,"708,608 km"
21508192,VOLVO,"€92,900                            
         ONO plus VAT        
        (€112,409 gross)",Vuren,FH 500,good (used),"Vuren, The Netherlands",A215-08-192,14.03.2026,2024,"296,872 km"
21508177,MERCEDES-BENZ,"€55,900                            
         ONO plus VAT        
        (€67,639 gross)",Vuren,ACTROS 1845 LS Hydrodrive,good (used),"Vuren, The Netherlands",A215-08-177,14.03.2026,2022,"391,152 km"
21508157,MAN,"€14,900                            
         ONO plus VAT        
        (€18,029 gross)",Vuren,18.500 TGX,good (used),"Vuren, The Netherlands",A215-08-157,14.03.2026,2017,"641,098 km"
21508117,SCANIA,"€18,900                            
         ONO plus VAT        
        (€22,869 gross)",Vuren,R450,good (used),"Vuren, The Netherlands",A215-08-117,14.03.2026,2015,"1,103,800 km"
21508102,SCANIA,"€39,950                            
         ONO plus VAT        
        (€48,340 gross)",Vuren,R500,good (used),"Vuren, The Netherlands",A215-08-102,14.03.2026,2019,"835,034 km"
21508087,MAN,"€16,950                            
         ONO plus VAT        
        (€20,510 gross)",Vuren,18.460 TGX,good (used),"Vuren, The Netherlands",A215-08-087,14.03.2026,2018,"619,838 km"
21508077,MAN,"€15,950                            
         ONO plus VAT        
        (€19,300 gross)",Vuren,18.460 TGX,good (used),"Vuren, The Netherlands",A215-08-077,14.03.2026,2018,"637,032 km"
21508072,MAN,"€15,950                            
         ONO plus VAT        
        (€19,300 gross)",Vuren,18.460 TGX,good (used),"Vuren, The Netherlands",A215-08-072,14.03.2026,2018,"680,832 km"
21508067,MAN,"€19,950                            
         ONO plus VAT        
        (€24,140 gross)",Vuren,18.460 TGX,good (used),"Vuren, The Netherlands",A215-08-067,14.03.2026,2019,"716,627 km"
21508027,SCANIA,"€12,950                            
         ONO plus VAT        
        (€15,670 gross)",Vuren,G420 HL E5 ADBLEU,good (used),"Vuren, The Netherlands",A215-08-027,14.03.2026,2011,"1,111,586 km"
21507367,MAN,"€18,900                            
         ONO plus VAT        
        (€22,869 gross)",Vuren,18.430 TGS,good (used),"Vuren, The Netherlands",A215-07-367,14.03.2026,2018,"474,797 km"
